method,budget,true_class,predicted_class,count,row_normalized
EXP010,5,1,1,1133508,0.769732446013853
EXP010,5,1,2,252388,0.17138937932907783
EXP010,5,1,3,49332,0.033499932092896915
EXP010,5,1,4,37372,0.02537824256417221
EXP010,5,2,1,606326,0.35263812958008606
EXP010,5,2,2,777336,0.4520972432243806
EXP010,5,2,3,202232,0.11761777364196813
EXP010,5,2,4,133506,0.0776468535535652
EXP010,5,3,1,181360,0.1386544342507645
EXP010,5,3,2,244022,0.1865611620795107
EXP010,5,3,3,659161,0.5039457186544343
EXP010,5,3,4,223457,0.1708386850152905
EXP010,5,4,1,36209,0.06775636227544911
EXP010,5,4,2,67419,0.12615830838323353
EXP010,5,4,3,73503,0.1375430389221557
EXP010,5,4,4,357269,0.6685422904191617
EXPF,5,1,1,1019539,0.6923393997012087
EXPF,5,1,2,347774,0.23616324867581148
EXPF,5,1,3,64971,0.04411992394404455
EXPF,5,1,4,40316,0.027377427678935216
EXPF,5,2,1,592618,0.3446655810166337
EXPF,5,2,2,792741,0.4610567639874375
EXPF,5,2,3,210044,0.12216121902989414
EXPF,5,2,4,123997,0.07211643596603466
EXPF,5,3,1,175047,0.13382798165137616
EXPF,5,3,2,281198,0.21498318042813455
EXPF,5,3,3,681707,0.5211827217125382
EXPF,5,3,4,170048,0.13000611620795108
EXPF,5,4,1,41323,0.07732597305389222
EXPF,5,4,2,80866,0.15132110778443114
EXPF,5,4,3,94027,0.17594872754491017
EXPF,5,4,4,318184,0.5954041916167665
ASTRA_AGF,5,1,1,1025430,0.6963398071438273
ASTRA_AGF,5,1,2,360268,0.24464756213499933
ASTRA_AGF,5,1,3,39805,0.027030422382181177
ASTRA_AGF,5,1,4,47097,0.031982208338992256
ASTRA_AGF,5,2,1,359664,0.20917994649296265
ASTRA_AGF,5,2,2,1051133,0.6113370943352332
ASTRA_AGF,5,2,3,131285,0.0763551238804234
ASTRA_AGF,5,2,4,177318,0.10312783529138071
ASTRA_AGF,5,3,1,51278,0.03920336391437309
ASTRA_AGF,5,3,2,243533,0.18618730886850152
ASTRA_AGF,5,3,3,778521,0.5951995412844037
ASTRA_AGF,5,3,4,234668,0.17940978593272172
ASTRA_AGF,5,4,1,13969,0.026139595808383233
ASTRA_AGF,5,4,2,49367,0.09237836826347305
ASTRA_AGF,5,4,3,38266,0.0716055389221557
ASTRA_AGF,5,4,4,432798,0.8098764970059881
Coordinate_RF,5,1,1,1031155,0.700227488795328
