method,budget,trial,f1,seconds
ASTRA_AGF,5,0,0.6316523644607169,0.9343075752258301
Coordinate_RF,5,0,0.6283817738488292,0.7590243816375732
EXP010,5,0,0.5945934962582309,0.02409672737121582
EXPF,5,0,0.5498055303736485,0.05149531364440918
ASTRA_AGF,25,0,0.6813385799562406,0.8847124576568604
Coordinate_RF,25,0,0.6886472598124744,0.9374382495880127
EXP010,25,0,0.6123038179218365,0.026340484619140625
EXPF,25,0,0.6331896978632261,0.08800172805786133
ASTRA_AGF,50,0,0.6810473276891428,0.8582742214202881
Coordinate_RF,50,0,0.6962512341689924,0.9191305637359619
EXP010,50,0,0.6144590124052142,0.02736663818359375
EXPF,50,0,0.635260751053746,0.06870317459106445
ASTRA_AGF,100,0,0.7027831559903674,0.931626558303833
Coordinate_RF,100,0,0.7252957233010005,0.8900136947631836
EXP010,100,0,0.6187597386298764,0.03588557243347168
EXPF,100,0,0.6447610079261777,0.0726468563079834
ASTRA_AGF,200,0,0.729926066695272,1.2021231651306152
Coordinate_RF,200,0,0.7467805106093222,1.1173818111419678
EXP010,200,0,0.6249638510646237,0.027820825576782227
EXPF,200,0,0.6625571089501687,0.07834434509277344
ASTRA_AGF,5,1,0.654638371627573,0.6982343196868896
Coordinate_RF,5,1,0.6563466551054835,0.6819298267364502
EXP010,5,1,0.5924438607585683,0.02901172637939453
EXPF,5,1,0.5787958619295841,0.04781293869018555
ASTRA_AGF,25,1,0.6792279741741765,0.8149795532226562
Coordinate_RF,25,1,0.6858163677085145,0.814319372177124
EXP010,25,1,0.5848464993607722,0.028049707412719727
EXPF,25,1,0.6208923925941465,0.08192586898803711
ASTRA_AGF,50,1,0.6979113074138024,0.9148643016815186
Coordinate_RF,50,1,0.7129655233936956,0.8774704933166504
EXP010,50,1,0.6028519304228063,0.02783036231994629
EXPF,50,1,0.6502999190883498,0.07701873779296875
ASTRA_AGF,100,1,0.7171848632377641,0.9167895317077637
Coordinate_RF,100,1,0.7289170891516148,0.9727551937103271
EXP010,100,1,0.6134643177990773,0.02297663688659668
EXPF,100,1,0.6570445022195215,0.07389092445373535
ASTRA_AGF,200,1,0.7316387269487938,1.0543878078460693
Coordinate_RF,200,1,0.7543583730206388,1.193270206451416
EXP010,200,1,0.6188118463088962,0.024187803268432617
EXPF,200,1,0.6581856130294219,0.07014608383178711
ASTRA_AGF,5,2,0.6313560277417177,0.6620829105377197
Coordinate_RF,5,2,0.6292703235789869,0.7554185390472412
EXP010,5,2,0.5697987842261982,0.018541574478149414
EXPF,5,2,0.4692209510088792,0.06037449836730957
ASTRA_AGF,25,2,0.692663574228512,0.8112473487854004
Coordinate_RF,25,2,0.6981869209486605,0.7999649047851562
EXP010,25,2,0.616110042650474,0.025575637817382812
EXPF,25,2,0.6413019713615562,0.08266234397888184
ASTRA_AGF,50,2,0.6993893748702571,0.9373626708984375
Coordinate_RF,50,2,0.7037720051963278,0.9457635879516602
EXP010,50,2,0.6254723910644837,0.023248910903930664
EXPF,50,2,0.6574010884653201,0.07911252975463867
ASTRA_AGF,100,2,0.7116887068022123,0.9288933277130127
Coordinate_RF,100,2,0.729395648531379,0.9505460262298584
EXP010,100,2,0.623796995939705,0.031068086624145508
EXPF,100,2,0.6512404434367067,0.07929539680480957
ASTRA_AGF,200,2,0.7326286943923178,1.2304298877716064
Coordinate_RF,200,2,0.7484338184288284,1.161184549331665
EXP010,200,2,0.623383833995969,0.02743387222290039
EXPF,200,2,0.6599355917230038,0.07131385803222656
ASTRA_AGF,5,3,0.6697405957691858,0.7210614681243896
Coordinate_RF,5,3,0.6684480237301694,0.6721093654632568
