method,budget,class_id,precision,recall,f1,support,mean_episode_class_f1,unit
EXP010,5,1,0.5790876993649239,0.769732446013853,0.66093703125041,1472600,0.6604595986653906,pooled query appearances; repeated pixels
EXP010,5,2,0.5795975886635872,0.4520972432243806,0.5079689534448705,1719400,0.4988572524358102,pooled query appearances; repeated pixels
EXP010,5,3,0.6697238851160503,0.5039457186544343,0.5751269070965017,1308000,0.5731854426588419,pooled query appearances; repeated pixels
EXP010,5,4,0.47534206842965177,0.6685422904191617,0.5556265765891863,534400,0.5554790575759778,pooled query appearances; repeated pixels
EXPF,5,1,0.5575739379292731,0.6923393997012087,0.6176914732453492,1472600,0.6136613835485939,pooled query appearances; repeated pixels
EXPF,5,2,0.5275869022527269,0.4610567639874375,0.4920832817346109,1719400,0.4840615974491162,pooled query appearances; repeated pixels
EXPF,5,3,0.6487819641037013,0.5211827217125382,0.5780241984204338,1308000,0.5733171703207832,pooled query appearances; repeated pixels
EXPF,5,4,0.4876046862668475,0.5954041916167665,0.5361394167379281,534400,0.5394368666536346,pooled query appearances; repeated pixels
ASTRA_AGF,5,1,0.7070268302419913,0.6963398071438273,0.7016426263821268,1472600,0.7015543230970361,pooled query appearances; repeated pixels
ASTRA_AGF,5,2,0.6167531439575521,0.6113370943352332,0.6140331763784279,1719400,0.613013520492377,pooled query appearances; repeated pixels
ASTRA_AGF,5,3,0.7880748311783754,0.5951995412844037,0.6781905128192843,1308000,0.6780774338994324,pooled query appearances; repeated pixels
ASTRA_AGF,5,4,0.48526428974268987,0.8098764970059881,0.6068902271011112,534400,0.6072109273836669,pooled query appearances; repeated pixels
Coordinate_RF,5,1,0.705867333317817,0.700227488795328,0.7030361003520107,1472600,0.7029683066651755,pooled query appearances; repeated pixels
Coordinate_RF,5,2,0.6185852391295089,0.6082354309642899,0.6133666780839593,1719400,0.6123399198366486,pooled query appearances; repeated pixels
Coordinate_RF,5,3,0.7878902747578773,0.5958998470948013,0.6785764500574812,1308000,0.6784645190919086,pooled query appearances; repeated pixels
Coordinate_RF,5,4,0.4849311205678203,0.8109375,0.6069270053211938,534400,0.6072411847955536,pooled query appearances; repeated pixels
EXP010,25,1,0.5906787071129617,0.7414912161241999,0.6575483581127022,1468600,0.6574310630354661,pooled query appearances; repeated pixels
EXP010,25,2,0.5972911585709637,0.540380669231666,0.5674124789011296,1715400,0.5655828013978236,pooled query appearances; repeated pixels
EXP010,25,3,0.7445465929758561,0.5503289877300613,0.6328724997762195,1304000,0.6323511054480596,pooled query appearances; repeated pixels
EXP010,25,4,0.5274932704534212,0.6554223227752639,0.5845402098813385,530400,0.5844572674381608,pooled query appearances; repeated pixels
EXPF,25,1,0.6055235203845921,0.7434229878796133,0.6674246932666759,1468600,0.6673150715058936,pooled query appearances; repeated pixels
EXPF,25,2,0.614502370157035,0.5557438498309433,0.5836479658525505,1715400,0.5822351247414663,pooled query appearances; repeated pixels
EXPF,25,3,0.7490599304844563,0.6138029141104294,0.6747196462185221,1304000,0.6742071827666767,pooled query appearances; repeated pixels
EXPF,25,4,0.5888871161419802,0.6610935143288085,0.6229047773430387,530400,0.6230985910139942,pooled query appearances; repeated pixels
ASTRA_AGF,25,1,0.7112829947373442,0.7513407326705707,0.7307633212667406,1468600,0.7307109808825362,pooled query appearances; repeated pixels
ASTRA_AGF,25,2,0.6766030200346183,0.6138912207065408,0.643723374796672,1715400,0.642866463263305,pooled query appearances; repeated pixels
ASTRA_AGF,25,3,0.772454381371997,0.665920245398773,0.715242053952854,1304000,0.715156269827505,pooled query appearances; repeated pixels
ASTRA_AGF,25,4,0.5363985307598321,0.7954242081447964,0.6407224687131956,530400,0.6417446569916812,pooled query appearances; repeated pixels
Coordinate_RF,25,1,0.7196719055104335,0.7619113441372736,0.7401895087510866,1468600,0.7401666645991852,pooled query appearances; repeated pixels
Coordinate_RF,25,2,0.6868851005997577,0.6234429287629707,0.6536281743890193,1715400,0.652774084602418,pooled query appearances; repeated pixels
Coordinate_RF,25,3,0.7732781106865806,0.6652101226993865,0.7151847543163756,1304000,0.7151036020957743,pooled query appearances; repeated pixels
Coordinate_RF,25,4,0.537580267047192,0.7955052790346908,0.641591144090992,530400,0.642612802808854,pooled query appearances; repeated pixels
EXP010,50,1,0.5938825796771523,0.7528983328778355,0.6640028827195904,1463600,0.6639932110495816,pooled query appearances; repeated pixels
EXP010,50,2,0.6083409557242095,0.5467165575304023,0.5758848703233034,1710400,0.5751202887156139,pooled query appearances; repeated pixels
EXP010,50,3,0.7643793092839175,0.5546528098537337,0.6428427716613274,1299000,0.6425705557441839,pooled query appearances; repeated pixels
EXP010,50,4,0.5283939522336837,0.6669661210506281,0.58964804427442,525400,0.5895886054956594,pooled query appearances; repeated pixels
EXPF,50,1,0.6110457771347539,0.755459825088822,0.6756218710912509,1463600,0.6755779709608346,pooled query appearances; repeated pixels
EXPF,50,2,0.62887829946821,0.5654952057998129,0.5955049434908677,1710400,0.5948975989709048,pooled query appearances; repeated pixels
EXPF,50,3,0.7613444097822111,0.6231870669745958,0.685372629882101,1299000,0.6850656096495793,pooled query appearances; repeated pixels
EXPF,50,4,0.6053447559921308,0.6770137038446897,0.6391764989164459,525400,0.6393825106959974,pooled query appearances; repeated pixels
ASTRA_AGF,50,1,0.7276897669972548,0.7791520907351736,0.7525421469452992,1463600,0.7524835531703334,pooled query appearances; repeated pixels
ASTRA_AGF,50,2,0.7073292494900685,0.6279039990645463,0.6652543514639297,1710400,0.6647115205673754,pooled query appearances; repeated pixels
ASTRA_AGF,50,3,0.7649393074396885,0.6799491916859123,0.719944638077135,1299000,0.7199274672694422,pooled query appearances; repeated pixels
ASTRA_AGF,50,4,0.5576336476846974,0.8048020555767035,0.658797629629168,525400,0.6597686401729013,pooled query appearances; repeated pixels
Coordinate_RF,50,1,0.7459885907393164,0.7939416507242416,0.7692184973133921,1463600,0.7691689089722771,pooled query appearances; repeated pixels
Coordinate_RF,50,2,0.7239567027737774,0.6489604770813845,0.6844102384499275,1710400,0.6839810849413658,pooled query appearances; repeated pixels
Coordinate_RF,50,3,0.7670397789170695,0.6786158583525789,0.7201235820495603,1299000,0.7200904963483913,pooled query appearances; repeated pixels
Coordinate_RF,50,4,0.5582604681833169,0.8056737723639132,0.6595271296693024,525400,0.6605040111010406,pooled query appearances; repeated pixels
EXP010,100,1,0.5958734144945773,0.7557684369840396,0.6663633840876729,1453600,0.6663745262858192,pooled query appearances; repeated pixels
EXP010,100,2,0.6138819910645976,0.5530439896494942,0.5818770875331499,1700400,0.5815313290130905,pooled query appearances; repeated pixels
EXP010,100,3,0.7752075887284428,0.5564577191621412,0.6478658626082582,1289000,0.647743230595324,pooled query appearances; repeated pixels
EXP010,100,4,0.5259293728349103,0.6710283275126115,0.5896841757076337,515400,0.5896333438866472,pooled query appearances; repeated pixels
EXPF,100,1,0.6126523456524118,0.7589694551458448,0.6780067460330873,1453600,0.6779679314643312,pooled query appearances; repeated pixels
EXPF,100,2,0.6346137554138367,0.5726952481768995,0.6020667137779476,1700400,0.6018173617102631,pooled query appearances; repeated pixels
EXPF,100,3,0.7718529307614702,0.6273607447633824,0.692146221782285,1289000,0.6920043600738737,pooled query appearances; repeated pixels
EXPF,100,4,0.6121292479650778,0.6834516880093131,0.6458272982952774,515400,0.6459091729352218,pooled query appearances; repeated pixels
ASTRA_AGF,100,1,0.7448798315993425,0.7955537974683544,0.7693833314260926,1453600,0.7693899626098076,pooled query appearances; repeated pixels
ASTRA_AGF,100,2,0.7292251207805565,0.6534168430957422,0.6892427523184486,1700400,0.6889769637009262,pooled query appearances; repeated pixels
ASTRA_AGF,100,3,0.7711786794455188,0.6911543832428239,0.7289769179974814,1289000,0.7289781751171651,pooled query appearances; repeated pixels
ASTRA_AGF,100,4,0.5777970645316138,0.815058207217695,0.6762199190463274,515400,0.6767970972438743,pooled query appearances; repeated pixels
Coordinate_RF,100,1,0.774083121914494,0.8148417721518987,0.7939396823715755,1453600,0.7939317158526845,pooled query appearances; repeated pixels
Coordinate_RF,100,2,0.7515838916867195,0.6884462479416608,0.7186309452920788,1700400,0.7184429881473633,pooled query appearances; repeated pixels
Coordinate_RF,100,3,0.77562292032384,0.6889806051202483,0.7297389903903435,1289000,0.7297252253407148,pooled query appearances; repeated pixels
Coordinate_RF,100,4,0.5786362333539112,0.8147341870391929,0.676682545105294,515400,0.6772545481784271,pooled query appearances; repeated pixels
EXP010,200,1,0.5978252341354255,0.7547251674107143,0.667174767608565,1433600,0.6671639417594395,pooled query appearances; repeated pixels
EXP010,200,2,0.617599422374695,0.5589079980956915,0.5867897656718344,1680400,0.5866432916201992,pooled query appearances; repeated pixels
EXP010,200,3,0.7803936563628109,0.5580780141843972,0.6507728950990861,1269000,0.65070777766591,pooled query appearances; repeated pixels
EXP010,200,4,0.5204458818550509,0.672723052079128,0.5868673448094606,495400,0.5868458912554769,pooled query appearances; repeated pixels
EXPF,200,1,0.6150905451950754,0.7582393973214285,0.6792044210908452,1433600,0.67917408916217,pooled query appearances; repeated pixels
EXPF,200,2,0.6392275694485992,0.5785979528683647,0.6074035341225463,1680400,0.6072755089767772,pooled query appearances; repeated pixels
EXPF,200,3,0.7745085647185506,0.6325476753349094,0.6963667523639034,1269000,0.6963006421371303,pooled query appearances; repeated pixels
EXPF,200,4,0.6134781423084077,0.6857246669358095,0.647592649605725,495400,0.647658388718797,pooled query appearances; repeated pixels
ASTRA_AGF,200,1,0.768131003707236,0.8017061941964285,0.7845595510779856,1433600,0.7845632452330301,pooled query appearances; repeated pixels
ASTRA_AGF,200,2,0.7480417207998231,0.6804838133777672,0.7126652909688199,1680400,0.7125542104304425,pooled query appearances; repeated pixels
ASTRA_AGF,200,3,0.7736637431384762,0.7115981087470449,0.7413341367713695,1269000,0.7413138265563335,pooled query appearances; repeated pixels
ASTRA_AGF,200,4,0.5969383740685588,0.826968106580541,0.6933727792624537,495400,0.693717022147198,pooled query appearances; repeated pixels
Coordinate_RF,200,1,0.7999577652557833,0.8270724051339285,0.8132891509408079,1433600,0.8132616542513048,pooled query appearances; repeated pixels
Coordinate_RF,200,2,0.774703139407695,0.7194638181385384,0.7460623804952883,1680400,0.7460131079405471,pooled query appearances; repeated pixels
Coordinate_RF,200,3,0.7804129168872419,0.7086382978723405,0.7427957824135069,1269000,0.7427734518082341,pooled query appearances; repeated pixels
Coordinate_RF,200,4,0.5992636137074386,0.8266027452563585,0.6948097836922061,495400,0.695147329152094,pooled query appearances; repeated pixels
